GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test,cpoo1.exo1,Arbre,62,0,2,0,21,0,11,0,10,0
test,cpoo1.exo1,Foret,17,0,0,0,7,0,5,0,5,0
test,cpoo1.exo1,Pin,50,0,0,0,17,0,8,0,8,0
test,cpoo1.exo1,Chene,52,0,0,0,17,0,8,0,8,0
test,cpoo1.exo2,Exo2,14,18,1,1,5,6,1,2,0,2
test,cpoo1.exo2,NetworkException,3,0,0,0,1,0,1,0,1,0
test,cpoo1.cours,Point,0,9,0,0,0,1,0,1,0,1
test,cpoo1.cours,Line,6,65,3,3,1,9,3,4,0,4
test,cpoo1.exo4,Client,0,50,0,6,0,12,0,7,0,4
test,cpoo1.exo5,PlateauJeu,56,17,14,4,12,4,10,4,3,2
test,cpoo1.exo8,Exo8,0,19,0,0,0,5,0,3,0,3
test,cpoo1.exo8,Random,3,3,0,0,1,1,1,1,1,1
test,cpoo1.exo9,Exo9,0,41,0,4,0,11,0,6,0,4
